,,前の日,次の日,増減,,,,,,,,,,,
1997/2/9,グー,17867.04,18181.17,＋314.1,,,,,,,,,,,
1997/2/16,パー,18722,18750.65,＋28.7,,,,,,,,,,,
1997/2/23,チョキ,19034.54,18896.99,?137.5,,,,,,,,,,,
1997/3/2,グー,18557,18429.13,?127.9,,,,,,,,,,,
1997/3/9,チョキ,18198.74,18113.89,?84.9,,,,,,,,,,,
1997/3/16,グー,17923.64,18053.5,＋129.9,,,,,,,,,,,
1997/3/23,パー,18633.16,18043.82,?589.3,,,,,,,,,,,
1997/3/30,パー,18189.72,18003.4,?186.3,,,,,,,,,,,
1997/4/6,チョキ,17860.59,17715.67,?144.9,,,,,,,,,,,
1997/4/13,グー,17846.98,17692.47,?154.5,,,,,,,,,,,
1997/4/20,チョキ,18352.14,18551.66,＋199.5,,,,,,,,,,,
1997/4/27,パー,18612.86,18670.37,＋57.5,,,,,,,,,,,
1997/5/4,パー,19514.75,20180.92,＋666.2,,,,,,,,,,,
1997/5/11,グー,19802.78,20143.51,＋340.7,,,,,,,,,,,
1997/5/18,チョキ,20324.73,20489.75,＋165.0,,,,,,,,,,,
1997/5/25,パー,20009,20043.5,＋34.5,,,,,,,,,,,
1997/6/1,チョキ,20068.81,20451.85,＋383.0,,,,,,,,,,,
1997/6/8,グー,20485.75,20223.82,?261.9,,,,,,,,,,,
1997/6/15,グー,20528.35,20681.07,＋152.7,,,,,,,,,,,
1997/6/22,パー,20385.54,20436.14,＋50.6,,,,,,,,,,,
1997/6/29,チョキ,20523.75,20604.96,＋81.2,,,,,,,,,,,
1997/7/6,チョキ,19968,19705.17,?262.8,,,,,,,,,,,
1997/7/13,グー,19875.49,20228.72,＋353.2,,,,,,,,,,,
1997/7/20,パー,20249.32,20157.02,?92.3,,,,,,,,,,,
1997/8/3,グー,19804.38,19668.07,?136.3,,,,,,,,,,,
1997/8/10,チョキ,19604.46,18824.18,?780.3,,,,,,,,,,,
1997/8/17,グー,19326.03,19041.1,?284.9,,,,,,,,,,,
1997/8/24,パー,18650.17,18656.17,＋6.0,,,,,,,,,,,
1997/8/31,パー,18229.42,17974.3,?255.1,,,,,,,,,,,
1997/9/7,チョキ,18650.17,18633.86,?16.3,,,,,,,,,,,
1997/9/14,グー,17965.8,17974.5,＋8.7,,,,,,,,,,,
1997/9/21,チョキ,18058.21,18201.32,＋143.1,,,,,,,,,,,
1997/9/28,パー,17994.71,17987.21,?7.5,,,,,,,,,,,
1997/10/5,チョキ,17647.45,17824.78,＋177.3,,,,,,,,,,,
1997/10/12,チョキ,17376.92,17204.7,?172.2,,,,,,,,,,,
1997/10/19,グー,17478.42,17294.51,?183.9,,,,,,,,,,,
1997/10/26,パー,17363.74,17038.36,?325.4,,,,,,,,,,,
1997/11/2,チョキ,16458.94,16500.1,＋41.2,,,,,,,,,,,
1997/11/9,グー,15836.36,15697.2,?139.2,,,,,,,,,,,
1997/11/16,チョキ,15082.52,16283.32,＋1200.8,,,,,,,,,,,
1997/11/23,パー,16721.58,15867.53,?854.1,,,,,,,,,,,
1997/11/30,グー,16636.26,17007.59,＋371.3,,,,,,,,,,,
1997/12/7,グー,16424.48,16131.57,?292.9,,,,,,,,,,,
1997/12/14,パー,15904.3,15909.39,＋5.1,,,,,,,,,,,
1997/12/21,チョキ,15314.89,14799.4,?515.5,,,,,,,,,,,
1997/12/28,パー,14802.6,14775.22,?27.4,,,,,,,,,,,
1998/1/4,チョキ,15258.74,14956.84,?301.9,,,,,,,,,,,
1998/1/11,グー,14995.1,14664.44,?330.7,,,,,,,,,,,
1998/1/18,パー,16046.45,16262.04,＋215.6,,,,,,,,,,,
1998/1/25,パー,16789.11,17073.33,＋284.2,,,,,,,,,,,
1998/2/1,グー,16628.47,16776.82,＋148.3,,,,,,,,,,,
1998/2/8,チョキ,17040.06,17205,＋164.9,,,,,,,,,,,
1998/2/15,チョキ,16791.01,16775.52,?15.5,,,,,,,,,,,
1998/2/22,グー,16756.24,16609.49,?146.8,,,,,,,,,,,
1998/3/1,パー,16831.67,17264.34,＋432.7,,,,,,,,,,,
1998/3/8,パー,17131.97,16972.53,?159.4,,,,,,,,,,,
1998/3/15,チョキ,17060.14,16861.14,?199.0,,,,,,,,,,,
1998/3/22,グー,16830.47,16868.83,＋38.4,,,,,,,,,,,
1998/3/29,パー,16739.26,16263.04,?476.2,,,,,,,,,,,
1998/4/5,チョキ,15517.78,15705.99,＋188.2,,,,,,,,,,,
1998/4/12,チョキ,16481.12,16317.58,?163.5,,,,,,,,,,,
1998/4/19,グー,15703.8,15697.1,?6.7,,,,,,,,,,,
1998/4/26,パー,16011.24,15649.95,?361.3,,,,,,,,,,,
1998/5/3,チョキ,15601.1,15243.84,?357.3,,,,,,,,,,,
1998/5/10,パー,15149,15381.9,＋232.9,,,,,,,,,,,
1998/5/17,グー,15242.86,15384.47,＋141.6,,,,,,,,,,,
1998/5/24,グー,15801.65,15783.12,?18.5,,,,,,,,,,,
1998/5/31,チョキ,15670.78,15321.03,?349.8,,,,,,,,,,,
1998/6/7,パー,15323.43,15294.71,?28.7,,,,,,,,,,,
1998/6/14,チョキ,15022.33,14825.17,?197.2,,,,,,,,,,,
1998/6/21,グー,15267.98,15309.09,＋41.1,,,,,,,,,,,
1998/6/28,パー,15210.04,15365.73,＋155.7,,,,,,,,,,,
1998/7/5,チョキ,16511.24,16350.45,?160.8,,,,,,,,,,,
1998/7/12,パー,16090.06,16360.39,＋270.3,,,,,,,,,,,
1998/7/19,チョキ,16570.78,16556.69,?14.1,,,,,,,,,,,
1998/7/26,グー,16361.89,15944.36,?417.5,,,,,,,,,,,
1998/8/2,グー,16378.97,16165.08,?213.9,,,,,,,,,,,
1998/8/9,パー,15829.17,15626.42,?202.8,,,,,,,,,,,
1998/8/16,チョキ,15123.93,14794.66,?329.3,,,,,,,,,,,
1998/8/23,パー,15298.2,14988.36,?309.8,,,,,,,,,,,
1998/8/30,グー,13915.63,14107.89,＋192.3,,,,,,,,,,,
1998/9/6,チョキ,14042.91,14790.06,＋747.2,,,,,,,,,,,
1998/9/13,パー,13916.98,14227.37,＋310.4,,,,,,,,,,,
1998/9/20,パー,13983.12,13597.3,?385.8,,,,,,,,,,,
1998/9/27,チョキ,13723.84,13909.37,＋185.5,,,,,,,,,,,
1998/10/4,チョキ,13223.69,12948.12,?275.6,,,,,,,,,,,
1998/10/11,グー,12879.97,13555.01,＋675.0,,,,,,,,,,,
1998/10/18,パー,13280.54,13567.2,＋286.7,,,,,,,,,,,
1998/10/25,チョキ,14144.7,13843.46,?301.2,,,,,,,,,,,
1998/11/1,パー,13564.51,13952.75,＋388.2,,,,,,,,,,,
1998/11/8,グー,14121.97,14194.54,＋72.6,,,,,,,,,,,
1998/11/15,グー,14268.21,14428.27,＋160.1,,,,,,,,,,,
1998/11/22,チョキ,14779.94,15164.64,＋384.7,,,,,,,,,,,
1998/11/29,パー,15069.39,14883.7,?185.7,,,,,,,,,,,
1998/12/6,チョキ,14639.97,14723.49,＋83.5,,,,,,,,,,,
1998/12/13,パー,14405.64,14111.62,?294.0,,,,,,,,,,,
1998/12/20,グー,14194.29,14152.95,?41.3,,,,,,,,,,,
1998/12/27,パー,13797.95,13709.06,?88.9,,,,,,,,,,,
1999/1/10,チョキ,13391.81,13368.48,?23.3,,,,,,,,,,,
1999/1/17,チョキ,13738.86,13805.06,＋66.2,,,,,,,,,,,
1999/1/24,グー,14154.4,14208.81,＋54.4,,,,,,,,,,,
1999/1/31,パー,14499.25,14465.18,?34.1,,,,,,,,,,,
1999/2/7,グー,13898.08,13992.49,＋94.4,,,,,,,,,,,
1999/2/14,チョキ,13973.69,14054.72,＋81.0,,,,,,,,,,,
1999/2/21,パー,14098.04,14256.67,＋158.6,,,,,,,,,,,
1999/2/28,チョキ,14367.54,14221.75,?145.8,,,,,,,,,,,
